,Location Name,Street Address,Hours Open,Level,Location 1,Planning Regions,Counties,Zip Code,Town Index,Coordinates
0,Connecticut Science Center,250 Columbus Blvd,Daily: 6Am-3AM,2,"250 Columbus Blvd
Hartford
(41.764599, -72.669526)",1.0,1041,82,64.0,"(41.764599, -72.669526)"
1,Norwalk Community College,188 Richards Avenue,"M-F 7AM-10PM, Sat Limited Hours ",2,"188 Richards Avenue
Norwalk
(41.102614, -73.450294)",9.0,1040,155,103.0,"(41.102614, -73.450294)"
2,Milford Public Library,57 New Haven Avenue,Open 24 Hours,2,"57 New Haven Avenue
Milford
(41.2225623, -73.0546839)",7.0,1044,193,84.0,"(41.2225623, -73.0546839)"
3,Lombard Ford Inc.,385 New Hartford Road,9 AM-5 PM M-Sat,2,"385 New Hartford Road
Barkhamsted
(41.909669, -73.042491)",6.0,1042,48,5.0,"(41.909669, -73.042491)"
4,Manchester Honda,24 Adams Street,Dealership Hours,2,"24 Adams Street
Manchester
(41.795808, -72.55138)",1.0,1041,161,77.0,"(41.795808, -72.55138)"
5,INFINITYGREEN,201 Commons Park Street,Open 24 Hours,2,"201 Commons Park Street
Stamford
(41.0410423, -73.5396723)",9.0,1040,7,135.0,"(41.0410423, -73.5396723)"
6,Propark America - Omni Hotel Chapel Square Garage,155 Temple Street,Open 24 Hours,"1, 2, Tesla","155 Temple Street
New Haven
(41.3058626, -72.9275359)",7.0,1044,133,93.0,"(41.3058626, -72.9275359)"
7,Town of Bethel,5 Depot Place,Open 24 Hours,2,"5 Depot Place
Bethel
(41.370439, -73.414611)",9.0,1040,77,9.0,"(41.370439, -73.414611)"
8,Air Rights Garage (New Haven Parking Authority),60 York Street (Located on level 3 of garage),Open 24/7 is a pay lot ,2,"60 York Street (Located on level 3 of garage)
New Haven
(41.305202, -72.934014)",7.0,1044,275,93.0,"(41.305202, -72.934014)"
9,Greensfarms Railroad Station,2 Post Office Lane,Open 24 Hours,2,"2 Post Office Lane
Westport
(41.122741, -73.315848)",9.0,1040,179,158.0,"(41.122741, -73.315848)"
10,Morton Government Center,239 John Street,Open 24 Hours,2,"239 John Street
Bridgeport
(41.177081, -73.191365)",2.0,1040,172,15.0,"(41.177081, -73.191365)"
11,Rt 15- NB Greenwich Service Plaza,3000 Merritt Parkway,Open 24 Hours,DC,"3000 Merritt Parkway
Greenwich
(41.041098, -73.672417)",9.0,1040,215,57.0,"(41.041098, -73.672417)"
12,Big Y ,28 Spencer Plain Road,Open 24 Hours,2,"28 Spencer Plain Road
Old Saybrook
(41.28808, -72.417843)",3.0,1043,56,106.0,"(41.28808, -72.417843)"
13,Plainville Town Hall,1 Central Square,Open 24 Hours,2,"1 Central Square
Plainville
(41.6717114, -72.8670213)",1.0,1041,260,110.0,"(41.6717114, -72.8670213)"
14,The Dock-Rail Side,200 East Main Street,Open 24 Hours,DC,"200 East Main Street
Stamford
(41.20277023, -73.11752319)",2.0,1040,218,138.0,"(41.20277023, -73.11752319)"
15,Curran Volkswagon,2785 Main Street,Dealership Hours,2,"2785 Main Street
Stratford
(41.198467, -73.131808)",2.0,1040,218,138.0,"(41.198467, -73.131808)"
16,Lia Nissan of Enfield,10 Palomba Drive,Dealership Hours,2,"10 Palomba Drive
Enfield
(41.9979545, -72.5742057)",1.0,1041,108,49.0,"(41.9979545, -72.5742057)"
17,Western Connecticut State University,43 Lake Avenue,Open 24 Hours,2,"43 Lake Avenue
Danbury
(41.389547, -73.467467)",9.0,1040,1,34.0,"(41.389547, -73.467467)"
18,Town of East Haven,250 Main Street,Open 24 Hours,2,"250 Main Street
East Haven
(41.2777553, -72.8716481)",7.0,1044,130,44.0,"(41.2777553, -72.8716481)"
19,Western Connecticut State University,190 White Street,Open 24 Hours,2,"190 White Street
Danbury
(41.399095, -73.44344)",9.0,1040,1,34.0,"(41.399095, -73.44344)"
20,Town of Glastonbury-on street parking,2333 Main Street,Open 24 Hours,2,"2333 Main Street
Glastonbury
(41.711942, -72.608505)",1.0,1041,90,54.0,"(41.711942, -72.608505)"
21,Burlington Library,"34 Library Lane, Burlington",Open 24 Hours,2,"34 Library Lane, Burlington
Burlington
(41.771441, -72.967039)",6.0,1041,107,20.0,"(41.771441, -72.967039)"
22,University of Connecticut- North Parking Garage,103 Eagleville Road,Garage Hours,2,"103 Eagleville Road
Storrs
(41.800922, -72.241321)",1.0,38,33,78.0,"(41.800922, -72.241321)"
23,Surface Parking Lot,121 Main Street,Open 24 Hours,2,"121 Main Street
New Britain
(41.666233, -72.781161)",1.0,1041,17,89.0,"(41.666233, -72.781161)"
24,Town of New Milford-Library Kiosk,24 Main Street,Open 24 Hours,2,"24 Main Street
New Milford
(41.5785572, -73.41116)",9.0,1042,88,96.0,"(41.5785572, -73.41116)"
25,EDENS (Bishops Corner),333 N. Main Street,Open 24 Hours,2,"333 N. Main Street
West Hartford
(41.783595, -72.748049)",1.0,1041,181,155.0,"(41.783595, -72.748049)"
26,Putnam Downtown Municipal Parking Lot,165 Kennedy Drive,Open 24 Hours,2,"165 Kennedy Drive
Putnam
(41.914329, -71.9105762)",5.0,39,39,116.0,"(41.914329, -71.9105762)"
27,Mohegan Sun,1 Mohegan Sun Blvd,Open 24 Hours,"1, 2","1 Mohegan Sun Blvd
Uncasville
(41.491597, -72.091456)",8.0,1045,15,86.0,"(41.491597, -72.091456)"
28,Danbury Whole Foods ,5C Sugar Hollow Road,Open 24 Hours,2,"5C Sugar Hollow Road
Danbury
(41.378259, -73.474835)",9.0,1040,1,34.0,"(41.378259, -73.474835)"
29,Fairfield Woods Library,1147 Fairfield Woods Road,Open 24 Hours,2,"1147 Fairfield Woods Road
Fairfield
(41.187855, -73.250024)",2.0,1040,174,51.0,"(41.187855, -73.250024)"
30,Butler Street Parking Lot,30 Butler Street,Open 24 Hours,2,"30 Butler Street
Meriden
(41.53697, -72.805988)",7.0,1044,226,80.0,"(41.53697, -72.805988)"
31,Plainville High School,47 Robert Holcomb Way,6 AM-11:45 PM 7 days a week,2,"47 Robert Holcomb Way
Plainville
(41.6659341, -72.8580302)",1.0,1041,260,110.0,"(41.6659341, -72.8580302)"
32,Karl Chevrolet,1330 East Putnam Avenue,Dealership Hours,2,"1330 East Putnam Avenue
Greenwich
(41.043283, -73.573851)",9.0,1040,250,57.0,"(41.043283, -73.573851)"
33,Trinity College,18-60 Crescent Street,Open 24 Hours,2,"18-60 Crescent Street
Hartford
(41.745582, -72.689438)",1.0,1041,182,64.0,"(41.745582, -72.689438)"
34,Connecticut Welcome Center - Tesla ,"I-95 N, I-95 S",24 hours daily,Tesla,"I-95 N, I-95 S
Darien
(41.080085, -73.461261)",9.0,1040,5,35.0,"(41.080085, -73.461261)"
35,Congregational Church of Somersville,22 Maple Street,Open 24 Hours,2,"22 Maple Street
Somersville
(41.983904, -72.489406)",1.0,38,143,129.0,"(41.983904, -72.489406)"
36,Summer Street Garage,100 Summer Street,Garage Hours,2,"100 Summer Street
Stamford
(41.0540276, -73.5407706)",9.0,1040,7,135.0,"(41.0540276, -73.5407706)"
37,Wilton Pubic Library,137 Old Ridgefield Road,"10 AM-8 PM M-Th, 10 AM-6 PM F, 1 PM",2,"137 Old Ridgefield Road
Wilton
(41.192668, -73.431569)",9.0,1040,212,161.0,"(41.192668, -73.431569)"
38,Blogoslawski Parking Garage,10 Franklin Square,Open 24 Hours,2,"10 Franklin Square
New Britain
(41.6643566, -72.7788286)",1.0,1041,17,89.0,"(41.6643566, -72.7788286)"
39,New Haven Parking Authority (Temple Street),1 Temple Street (Located on level 4 of garage),Open 24/7 is a pay lot ,2,"1 Temple Street (Located on level 4 of garage)
New Haven
(41.303605, -72.929722)",7.0,1044,133,93.0,"(41.303605, -72.929722)"
40,Town of Madison,761 Boston Post Road,Open 24 Hours,2,"761 Boston Post Road
Madison
(41.280284, -72.595184)",7.0,1044,134,76.0,"(41.280284, -72.595184)"
41,Chips Family Restaurant,321 Boston Post Road,Open 24 Hours-Guests Only,"2, Tesla","321 Boston Post Road
Orange
(41.264627, -73.004808)",7.0,1044,196,107.0,"(41.264627, -73.004808)"
42,PFIZER GROTON,445 Eastern Point Road-Building 290,Open 24 Hours,2,"445 Eastern Point Road-Building 290
Groton
(41.3356849, -72.0729966)",8.0,1045,243,59.0,"(41.3356849, -72.0729966)"
43,Van Wilgen's Garden Center,51 Valley Road,9AM-5PM M-F,2,"51 Valley Road
North Branford
(41.30733, -72.766105)",7.0,1044,131,99.0,"(41.30733, -72.766105)"
44,Mansfield Public Library,54 Warrenville Road,Open 24 Hours,2,"54 Warrenville Road
Mansfield
(41.768396, -72.195701)",1.0,38,32,78.0,"(41.768396, -72.195701)"
45,Gates Nissan,143 Boston Post Road,Dealership Hours,2,"143 Boston Post Road
North Windham
(41.7283586, -72.1878358)",8.0,39,258,163.0,"(41.7283586, -72.1878358)"
46,Southern Connecticut University,34 Wintergreen Ave,Open 24/7 is a pay lot ,2,"34 Wintergreen Ave
New Haven
(41.3333254, -72.9502064)",7.0,1044,240,93.0,"(41.3333254, -72.9502064)"
47,Town of Beacon Falls-Commuter Lot,105 N. Main Street,Open 24 Hours,2,"105 N. Main Street
Beacon Falls
(41.445472, -73.065616)",4.0,1044,138,6.0,"(41.445472, -73.065616)"
48,Propark America,77 Old Bank Lane,Garage Hours,"2, DC","77 Old Bank Lane
Hartford
(41.7667112, -72.674007)",1.0,1041,82,64.0,"(41.7667112, -72.674007)"
49,CT Department of Corrections,38 Wolcott Hill Road,Open 24 Hours,2,"38 Wolcott Hill Road
Wethersfield
(41.725002, -72.6724544)",1.0,1041,261,159.0,"(41.725002, -72.6724544)"
50,Bloomfield Town Hall,800 Bloomfield Avenue,Town Hall Hours,2,"800 Bloomfield Avenue
Bloomfield
(41.8298475, -72.7373929)",1.0,1041,224,11.0,"(41.8298475, -72.7373929)"
51,Mystic Marriott Hotel and Spa,625 North Rd,Open 24 Hours,"1, 2","625 North Rd
Groton
(41.3649722, -72.0251953)",8.0,1045,243,59.0,"(41.3649722, -72.0251953)"
52,State Street Parking Garage,360 State Street,Garage Hours,2,"360 State Street
New Haven
(41.30501, -72.9227)",7.0,1044,275,93.0,"(41.30501, -72.9227)"
53,Carter Chevrolet,1229 Main Street,Dealership Hours,2,"1229 Main Street
Manchester
(41.7648798, -72.52027)",1.0,1041,263,77.0,"(41.7648798, -72.52027)"
54,Hoffman of West Simsbury Inc.  d/b/a Hoffman Toyota,36 Albany Tpke,Dealership Hours,2,"36 Albany Tpke
West Simsbury
(41.818657, -72.868197)",1.0,1041,186,128.0,"(41.818657, -72.868197)"
55,Milford Southbound & Northbound Service Plaza,"I-95 N, I-95 S",Open 24 Hours,Tesla,"I-95 N, I-95 S
Milford
(41.24718, -73.009992)",7.0,1044,193,84.0,"(41.24718, -73.009992)"
56,Learning Express,25 Old Kings Hwy N,"9:30 AM-5:30 PM M-Sat, 11AM-5PM Sun","2, DC","25 Old Kings Hwy N
Darien
(41.078763, -73.465493)",9.0,1040,5,35.0,"(41.078763, -73.465493)"
57,Green Farms,1460 Post Road,Open 24 Hours,DC,"1460 Post Road
East Westport
(41.13921356, -73.31217957)",9.0,1040,179,158.0,"(41.13921356, -73.31217957)"
58,Town of Ridgefield,400 Main Street,Open 24 Hours,2,"400 Main Street
Ridgefield
(41.281421, -73.498417)",9.0,1040,43,118.0,"(41.281421, -73.498417)"
59,Greater Hartford Transit District - Spruce Street Lot,1 Union Place,Open 24 Hours,"1, 2","1 Union Place
Hartford
(41.7686629, -72.6813764)",1.0,1041,82,64.0,"(41.7686629, -72.6813764)"
60,Henny Penny-Hartford Road,969 Hartford Road,Open 24 Hours,2,"969 Hartford Road
Waterford
(41.3874871, -72.1591426)",8.0,1045,140,152.0,"(41.3874871, -72.1591426)"
61,DRS Consolidated Controls,21 South Street,Open 24 Hours,2,"21 South Street
Danbury
(41.38704, -73.4312)",9.0,1040,1,34.0,"(41.38704, -73.4312)"
62,Yankee Doodle Garage,10 Burnell Blvd,Lot Hours,"1, 2","10 Burnell Blvd
Norwalk
(41.11803055, -73.41493225)",9.0,1040,204,103.0,"(41.11803055, -73.41493225)"
63,Heritage Hotel - Tesla,522 Heritage Rd,Open 24 Hours,Tesla,"522 Heritage Rd
Southbury
(41.4880563, -73.2248163)",4.0,1044,99,130.0,"(41.4880563, -73.2248163)"
64,East Hartford Public School,734 Tolland Street,Open 24 Hours,2,"734 Tolland Street
East Hartford
(41.78392, -72.6047)",1.0,1041,119,43.0,"(41.78392, -72.6047)"
65,Foxwoods Resort & Casino,101 Trolley  Line Blvd,Open 24 Hours,2,"101 Trolley Line Blvd
Mashantucket
(41.4699817, -71.9523342)",8.0,1045,66,72.0,"(41.4699817, -71.9523342)"
66,Isham Garage,17 Isham Road,Garage Hours,2,"17 Isham Road
West Hartford
(41.7608228, -72.7407631)",1.0,1041,158,155.0,"(41.7608228, -72.7407631)"
67,CityPlace Garage,185 Asylum Street,Garage Hours,2,"185 Asylum Street
Hartford
(41.7669, -72.6762)",1.0,1041,82,64.0,"(41.7669, -72.6762)"
68,County Line Buick-Nissan,2191 Straits Tpke,Dealership Hours,"2, DC","2191 Straits Tpke
Middlebury
(41.568466, -73.099109)",4.0,1044,200,81.0,"(41.568466, -73.099109)"
69,Cargill Chevrolet,23 Livery Street,Open 24 Hours,2,"23 Livery Street
Putnam
(41.915577, -71.908313)",5.0,39,39,116.0,"(41.915577, -71.908313)"
70,BMW of Bridgeport,43 North Ave,Open 24 Hours,2,"43 North Ave
Bridgeport
(41.2020685, -73.1897466)",2.0,1040,74,15.0,"(41.2020685, -73.1897466)"
71,Alfano Nissan,1530 E Main Street,Dealership Hours,2,"1530 E Main Street
Torrington
(41.8191958, -73.0875574)",6.0,1042,122,143.0,"(41.8191958, -73.0875574)"
72,Gene Langan VW,816 New London Turnpike,Open 24 Hours,2,"816 New London Turnpike
Glastonbury
(41.704415, -72.593366)",1.0,1041,90,54.0,"(41.704415, -72.593366)"
73,Bell Street Garage,28 Bell Street,Open 24 Hours,2,"28 Bell Street
Stamford
(41.0520087, -73.5407297)",9.0,1040,203,135.0,"(41.0520087, -73.5407297)"
74,Norwich Public Utilities,157 N Main Street (Adjacent to Customer Service Building),Open 24 Hours,2,"157 N Main Street (Adjacent to Customer Service Building)
Norwich
(41.527565, -72.064059)",8.0,1045,14,104.0,"(41.527565, -72.064059)"
75,Schaller Mitsubishi,25 Veterans Drive,9 AM-5 PM M-Sat,2,"25 Veterans Drive
New Britain
(41.649365, -72.770648)",1.0,1041,17,89.0,"(41.649365, -72.770648)"
76,Propark America - City of New London,161 Water Street (Located outside of garage entrance from Water St ),Open 24 Hours,"1, 2","161 Water Street (Located outside of garage entrance from Water St )
New London
(41.3566648, -72.0945957)",8.0,1045,144,95.0,"(41.3566648, -72.0945957)"
77,State House Square,10-90 State House Sq,Open 24 Hours,2,"10-90 State House Sq
Hartford
(41.766, -72.6716)",1.0,1041,82,64.0,"(41.766, -72.6716)"
78,Valenti Motors,600 Straits Tpke,Dealership Hours,2,"600 Straits Tpke
Watertown
(41.57525, -73.1005139)",4.0,1042,269,153.0,"(41.57525, -73.1005139)"
79,Windham Town Hall,979 Main Street,Open 24 Hours,2,"979 Main Street
Windham
(41.71292, -72.217506)",8.0,39,207,163.0,"(41.71292, -72.217506)"
80,Yale Acres Community Center,228 Wall Street,Open 24 Hours,2,"228 Wall Street
Meriden
(41.538777, -72.782625)",7.0,1044,199,80.0,"(41.538777, -72.782625)"
81,One Stamford Plaza,263 Tresser Blvd,Open 24 Hours,"1, 2","263 Tresser Blvd
Stamford
(41.05184, -73.5344)",9.0,1040,203,135.0,"(41.05184, -73.5344)"
82,Premier Chevrolet,512 Providence Road,Dealership Hours,2,"512 Providence Road
Brooklyn
(41.79918, -71.9068)",5.0,39,37,19.0,"(41.79918, -71.9068)"
83,Crest Ford,218 Flanders Road ,Open 24 Hours,2,"218 Flanders Road
Niantic
(41.354043, -72.211435)",8.0,1045,31,45.0,"(41.354043, -72.211435)"
84,Figaro Restaurant,90 Elm Street,Open 24 Hours,2,"90 Elm Street
Enfield
(41.996918, -72.5823813)",1.0,1041,108,49.0,"(41.996918, -72.5823813)"
85,Aitoro Appliance Co.,401 Westport Avenue at Strawberry Hill Avenue,Business Hours,2,"401 Westport Avenue at Strawberry Hill Avenue
Norwalk
(41.126616, -73.390279)",9.0,1040,87,103.0,"(41.126616, -73.390279)"
86,Propark America,777 Main Street,Garage Hours,"1, 2","777 Main Street
Hartford
(41.7656639, -72.6734371)",1.0,1041,82,64.0,"(41.7656639, -72.6734371)"
87,Town Center Municipal Parking Lot,83 Market Square,Open 24 Hours,2,"83 Market Square
Newington
(41.696446, -72.721392)",1.0,1041,86,94.0,"(41.696446, -72.721392)"
88,Precision Motors of Mystic,2400 Gold Star Highway,Open 24 Hours,2,"2400 Gold Star Highway
Mystic
(41.390465, -71.988657)",8.0,1045,135,59.0,"(41.390465, -71.988657)"
89,Morande Ford,250 Webster Square Road,"9 AM-5 PM M-Th, 9 AM-2 PM F-Sat",2,"250 Webster Square Road
Berlin
(41.631028, -72.742309)",1.0,1041,253,7.0,"(41.631028, -72.742309)"
90,Tri-Town Teachers Federal Credit Union,61 Jessup Road,Open 24 Hours,2,"61 Jessup Road
Westport
(41.139781, -73.358518)",9.0,1040,179,158.0,"(41.139781, -73.358518)"
91,All-Phase Electric Supply,15 Commerce Way,6 AM-6 PM M-F,2,"15 Commerce Way
South Windsor
(41.858024, -72.600045)",1.0,1041,89,132.0,"(41.858024, -72.600045)"
92,East Hampton Village Center,87 Main Street,Open 24 Hours,2,"87 Main Street
East Hampton
(41.574728, -72.502089)",3.0,1043,273,42.0,"(41.574728, -72.502089)"
93,Goodwin College,403 Main Street,Open 24 Hours,2,"403 Main Street
East Hartford
(41.749991, -72.639357)",1.0,1041,24,43.0,"(41.749991, -72.639357)"
94,Orange Meadows (Peck Lane),550 Boston Post Road,Open 24 Hours,DC,"550 Boston Post Road
Orange
(41.25180054, -73.01777649)",7.0,1044,196,107.0,"(41.25180054, -73.01777649)"
95,Fairfield Tennis Center,210 Old Dam Road,Open 24 Hours,2,"210 Old Dam Road
Fairfield
(41.1247387, -73.2665157)",2.0,1040,111,51.0,"(41.1247387, -73.2665157)"
96,Ridgefield BMW,746 Danbury Road,Dealership Hours,2,"746 Danbury Road
Ridgefield
(41.330578, -73.472216)",9.0,1040,43,118.0,"(41.330578, -73.472216)"
97,Capital Regional Development Association (CRDA)  ,"Front Street North, 105 Columbus Blvd",Daily: 6AM-Midnight,2,"Front Street North, 105 Columbus Blvd
Hartford
(41.762829, -72.670264)",1.0,1041,82,64.0,"(41.762829, -72.670264)"
98,Price Chopper ,1220 Storrs Road,Open 24 Hours,2,"1220 Storrs Road
Storrs
(41.788489, -72.229291)",1.0,38,33,78.0,"(41.788489, -72.229291)"
99,Town Hall of Coventry,1712 Main Street,Open 24 Hours,2,"1712 Main Street
Coventry
(41.781963, -72.309203)",1.0,38,145,32.0,"(41.781963, -72.309203)"
100,Crowley Ford,225 New Britain Ave,Dealership Hours,2,"225 New Britain Ave
Plainville
(41.677956, -72.842337)",1.0,1041,260,110.0,"(41.677956, -72.842337)"
101,Prestige VW,42-46 West Broad Street,Dealership Hours,2,"42-46 West Broad Street
Stamford
(41.0553525, -73.5464906)",9.0,1040,7,135.0,"(41.0553525, -73.5464906)"
102,Wallingford Shopping Center,930 North Colony Road,Open 24 Hours,2,"930 North Colony Road
Wallingford
(41.483774, -72.807124)",7.0,1044,195,148.0,"(41.483774, -72.807124)"
103,La Quinta Inn & Suites,116 Newtown Road,24 hours daily,2,"116 Newtown Road
Danbury
(41.41681751, -73.40630808)",9.0,1040,1,34.0,"(41.41681751, -73.40630808)"
104,Fairfield Parks and Recreation Center,75 Mill Plain Road,Open 24 Hours,2,"75 Mill Plain Road
Fairfield
(41.142152, -73.263962)",2.0,1040,111,51.0,"(41.142152, -73.263962)"
105,Girard Nissan,425 Gold Star Hwy,Dealership Hours,2,"425 Gold Star Hwy
Groton
(41.3713958, -72.0565033)",8.0,1045,243,59.0,"(41.3713958, -72.0565033)"
