,Location Name,Street Address,Hours Open,Level,Location 1,Planning Regions,Counties,Zip Code,Town Index,Coordinates
106,United Illuminating - City of New Haven Union Station Garage,50 Union Avenue,Open 24 Hours,2,"50 Union Avenue
New Haven
(41.297509, -72.926602)",7.0,1044,132,93.0,"(41.297509, -72.926602)"
107,Town of Westport - Town Hall,110 Myrtle Avenue,Open 24 Hours,2,"110 Myrtle Avenue
Westport
(41.1450945, -73.3599921)",9.0,1040,179,158.0,"(41.1450945, -73.3599921)"
108,Darien Southbound Service Plaza,1-95 S,Open 24 Hours,DC,"1-95 S
Darien
(41.068255, -73.504797)",9.0,1040,5,35.0,"(41.068255, -73.504797)"
109,Harte Nissan,165 West Service Road,Dealership Hours,"2, DC","165 West Service Road
Hartford
(41.7913051, -72.6566434)",1.0,1041,79,64.0,"(41.7913051, -72.6566434)"
110,Crowley Nissan,1451 Farmington Avenue,9 AM-5 PM M-Sat,"2, DC","1451 Farmington Avenue
Bristol
(41.6992932, -72.8956037)",4.0,1041,219,17.0,"(41.6992932, -72.8956037)"
111,Delamar Greenwich Harbor - Tesla,500 Steamboat Rd,Open 24 Hours,Tesla,"500 Steamboat Rd
Greenwich
(41.017798, -73.623616)",9.0,1040,6,57.0,"(41.017798, -73.623616)"
112,Old Saybrook Inn,2 Bridge Street,Open 24 Hours-Guests Only,2,"2 Bridge Street
Old Saybrook
(41.283282, -72.35059)",3.0,1043,56,106.0,"(41.283282, -72.35059)"
113,United Illuminating - Fairfield,80 Mill Plain Road,Open 24 Hours,2,"80 Mill Plain Road
Fairfield
(41.1422413, -73.2640247)",2.0,1040,111,51.0,"(41.1422413, -73.2640247)"
114,Mansfield Parking Garage,9 Dog Lane,Garage Hours,2,"9 Dog Lane
Storrs
(41.8050529, -72.2432295)",1.0,38,33,78.0,"(41.8050529, -72.2432295)"
115,De Cormier Nissan,30 Tolland Tpke,Dealership Hours,"2, DC","30 Tolland Tpke
Manchester
(41.813743, -72.507773)",1.0,1041,161,77.0,"(41.813743, -72.507773)"
116,The Ridgefield Playhouse,80 East Ridge,Open 24 Hours,2,"80 East Ridge
Ridgefield
(41.282357, -73.493122)",9.0,1040,43,118.0,"(41.282357, -73.493122)"
117,Torrington Town Hall,140 Main Street,Open 24 Hours,2,"140 Main Street
Torrington
(41.803336, -73.120793)",6.0,1042,122,143.0,"(41.803336, -73.120793)"
118,NEEDS & Sustainable America  ,700 Canal Street (at Henry St.),Open 24 Hours,2,"700 Canal Street (at Henry St.)
Stamford
(41.043886, -73.532272)",9.0,1040,7,135.0,"(41.043886, -73.532272)"
119,Public Parking Lot,Morse Street,Open 24 Hours,2,"Morse Street
New Canaan
(41.1464, -73.4924)",9.0,1040,180,90.0,"(41.1464, -73.4924)"
120,Kent Town Green,14-18 Kent Green Blvd,Open 24 Hours,2,"14-18 Kent Green Blvd
Kent
(41.727419, -73.47251)",6.0,1042,52,68.0,"(41.727419, -73.47251)"
121,Saint Francis Hospital,114 Woodland Street,Open 24 Hours,2,"114 Woodland Street
Hartford
(41.77507, -72.6994)",1.0,1041,10,64.0,"(41.77507, -72.6994)"
122,Ford of Branford,301 E Main Street,Dealership Hours,2,"301 E Main Street
Branford
(41.291874, -72.790192)",7.0,1044,170,14.0,"(41.291874, -72.790192)"
123,Easton Public Library,691 Morehouse Road,Open 24 Hours,2,"691 Morehouse Road
Easton
(41.251966, -73.297822)",2.0,1040,42,46.0,"(41.251966, -73.297822)"
124,Middletown Nissan,1153 Newfield Street,Dealership Hours,"2, DC","1153 Newfield Street
Middletown
(41.5903224, -72.6757242)",3.0,1043,236,83.0,"(41.5903224, -72.6757242)"
125,Panera Bread,1129 Silas Deane Hwy,Open 24 Hours,2,"1129 Silas Deane Hwy
Wethersfield
(41.69034, -72.6559)",1.0,1041,261,159.0,"(41.69034, -72.6559)"
126,Napoli Nissan,688 Bridgeport Avenue,Dealership Hours,2,"688 Bridgeport Avenue
Milford
(41.2096984, -73.083616)",7.0,1044,193,84.0,"(41.2096984, -73.083616)"
127,Nissan of Norwich,691 W Thames St,Dealership Hours,2,"691 W Thames St
Norwich
(41.501415, -72.0951712)",8.0,1045,14,104.0,"(41.501415, -72.0951712)"
128,Woodbridge Town Hall,11 Meetinghouse Lane,Open 24 Hours,2,"11 Meetinghouse Lane
Woodbridge
(41.354106, -73.014774)",7.0,1044,61,167.0,"(41.354106, -73.014774)"
129,Foxwoods Casino & Resort,350 Trolley Line Blvd,Open 24 Hours,2,"350 Trolley Line Blvd
Mashantucket
(41.4733521, -71.9600027)",8.0,1045,66,72.0,"(41.4733521, -71.9600027)"
130,Connecticut Department of Energy & Environmental Protection,79 Elm Street,Open 24 Hours,2,"79 Elm Street
Hartford
(41.763449, -72.678557)",1.0,1041,182,64.0,"(41.763449, -72.678557)"
131,Pomfret Town Hall,5 Haven Road,Open 24 Hours,2,"5 Haven Road
Pomfret
(41.859648, -71.998608)",5.0,39,148,112.0,"(41.859648, -71.998608)"
132,George Harte Nissan,426 Derby Avenue,Dealership Hours,"2, DC","426 Derby Avenue
West Haven
(41.3077571, -72.9685927)",7.0,1044,11,156.0,"(41.3077571, -72.9685927)"
133,CCSU Student Center,195 Ella Grasso Blvd,Open 24 Hours,DC,"195 Ella Grasso Blvd
New Britain
(41.693285, -72.768397)",1.0,1041,110,89.0,"(41.693285, -72.768397)"
134,Executive Nissan,900 Universal Drive N,Dealership Hours,"2, DC","900 Universal Drive N
North Haven
(41.360892, -72.870997)",7.0,1044,168,101.0,"(41.360892, -72.870997)"
135,General Electric Capital,901 Main Avenue,Open 24 Hours,2,"901 Main Avenue
Norwalk
(41.144988, -73.428669)",9.0,1040,204,103.0,"(41.144988, -73.428669)"
136,Northeast Utility Services ,107 Seldon Street,Open 24 Hours,2,"107 Seldon Street
Berlin
(41.6495951, -72.7252489)",1.0,1041,253,7.0,"(41.6495951, -72.7252489)"
137,"Crew Design, Inc.","16 Maple Street Extension, Kent",Open 24 Hours,2,"16 Maple Street Extension, Kent
Kent
(41.721958, -73.473401)",6.0,1042,52,68.0,"(41.721958, -73.473401)"
138,Stafford Town Hall,1 Main Street,Open 24 Hours,2,"1 Main Street
Stafford Springs
(41.953668, -72.303231)",1.0,38,34,134.0,"(41.953668, -72.303231)"
139,Hoffman Ford Inc.,600 Connecticut Blvd,Dealership Hours,2,"600 Connecticut Blvd
East Hartford
(41.769701, -72.657481)",1.0,1041,119,43.0,"(41.769701, -72.657481)"
140,Tingue Dam Bypass Channel,Wakeley Street Parking Lot  ,Open 24 Hours,2,"Wakeley Street Parking Lot
Seymour
(41.2335, -73.0434)",7.0,1044,28,84.0,"(41.2335, -73.0434)"
141,Eastern Connecticut State University-Shakespeare Parking Garage,24 Charger Oak Drive,Open 24 Hours,2,"24 Charger Oak Drive
Willimantic
(41.738591, -72.217383)",1.0,38,32,78.0,"(41.738591, -72.217383)"
142,Karl Chevrolet,261 Elm Street,Open 24 Hours,2,"261 Elm Street
New Canaan
(41.14586, -73.4991)",9.0,1040,180,90.0,"(41.14586, -73.4991)"
143,Carriage House of New London,488 Coman Street,"8 AM-7 PM M-Thur, 8 AM-5 PM F-Sun",2,"488 Coman Street
New London
(41.362333, -72.117344)",8.0,1045,144,95.0,"(41.362333, -72.117344)"
144,Arapahoe Parking Lot,105 Lasalle Road,Garage Hours,2,"105 Lasalle Road
West Hartford
(41.7585089, -72.7445332)",1.0,1041,158,155.0,"(41.7585089, -72.7445332)"
145,Saybrook Point Marina,21 Bridge Street,Open 24 Hours,2,"21 Bridge Street
Old Saybrook
(41.282707, -72.351844)",3.0,1043,56,106.0,"(41.282707, -72.351844)"
146,United Illuminating - Fairfield,65 Reef Road,Open 24 Hours,2,"65 Reef Road
Fairfield
(41.1406181, -73.2571997)",2.0,1040,111,51.0,"(41.1406181, -73.2571997)"
147,Guilford Town Hall,31 Park Street,Open 24 Hours,2,"31 Park Street
Guilford
(41.2829747, -72.6806692)",7.0,1044,201,60.0,"(41.2829747, -72.6806692)"
148,Danbury Fair Mall,7 Backus Ave ,Open 24 Hours,DC,"7 Backus Ave
Danbury
(41.38010788, -73.47898865)",9.0,1040,1,34.0,"(41.38010788, -73.47898865)"
149,Crowly Volkswagen,245 New Britain Ave,Dealership Hours,2,"245 New Britain Ave
Plainville
(41.67693, -72.841182)",1.0,1041,260,110.0,"(41.67693, -72.841182)"
150,Reserve Night Club,16 Colony Street,Open 24 Hours,2,"16 Colony Street
Meriden
(41.538678, -72.802371)",7.0,1044,226,80.0,"(41.538678, -72.802371)"
151,Whole Foods Market,350 Grasmere Avenue,Customers Only,2,"350 Grasmere Avenue
Fairfield
(41.157196, -73.241898)",2.0,1040,111,51.0,"(41.157196, -73.241898)"
152,Connecticut Legislative Office Building,300 Capitol Ave,Garage Hours,2,"300 Capitol Ave
Hartford
(41.7634529, -72.6854594)",1.0,1041,182,64.0,"(41.7634529, -72.6854594)"
153,Hoffman Nissan,46 Albany Tpke,Dealership Hours,2,"46 Albany Tpke
West Simsbury
(41.820356, -72.869086)",1.0,1041,186,128.0,"(41.820356, -72.869086)"
154,Ridgeway Lower Level Parking Garage,2202 Bedford Street,Open 24 Hours,DC,"2202 Bedford Street
Stamford
(41.06864929, -73.54598236)",9.0,1040,84,135.0,"(41.06864929, -73.54598236)"
155,University of Connecticut - Motor Pool,31 LeDoyt Road,8 AM-3 PM M-F,2,"31 LeDoyt Road
Storrs
(41.811817, -72.261825)",1.0,38,33,78.0,"(41.811817, -72.261825)"
156,CT Department of Motor Vehicles,1365 Highland Avenue,9 AM-5PM M-F,2,"1365 Highland Avenue
Cheshire
(41.5374181, -72.8935933)",4.0,1044,63,25.0,"(41.5374181, -72.8935933)"
157,Town of Newington-Market Center,90 Market Square,Open 24 Hours,2,"90 Market Square
Newington
(41.6972, -72.7214)",1.0,1041,86,94.0,"(41.6972, -72.7214)"
158,Shagbark Lumber and Farm Supply,Corner of Mt. Parnassus Rd. & Rt. 82,Business Hours,2,"Corner of Mt. Parnassus Rd. & Rt. 82
East Haddam
(41.463278, -72.442533)",3.0,1043,192,41.0,"(41.463278, -72.442533)"
159,Connecticut Insurance Exchange of Southington,1133 Meriden Waterbury Turnpike,Open 24 Hours,2,"1133 Meriden Waterbury Turnpike
Plantsville
(41.56426, -72.8831)",1.0,1041,185,131.0,"(41.56426, -72.8831)"
160,United Illuminating Co - City of Bridgeport,45 Lyon Terrace,9AM-5PM M-F,2,"45 Lyon Terrace
Bridgeport
(41.1803348, -73.1927599)",2.0,1040,172,15.0,"(41.1803348, -73.1927599)"
161,Hartford Mitsubishi,77 Leibert Road,Dealership Hours,2,"77 Leibert Road
Hartford
(41.78421, -72.6577)",1.0,1041,79,64.0,"(41.78421, -72.6577)"
162,Washington Boulevard Parking Garage,1340 Washington Blvd,Open 24 Hours,2,"1340 Washington Blvd
Stamford
(41.0582867, -73.5439057)",9.0,1040,7,135.0,"(41.0582867, -73.5439057)"
163,Grossman Nissan,295 Middlesex Tpke,Dealership Hours,"2, DC","295 Middlesex Tpke
Old Saybrook
(41.3091825, -72.3819136)",3.0,1043,56,106.0,"(41.3091825, -72.3819136)"
164,Fairfield Mitsubishi,421 Tunxis Hill Road,Dealership Hours,2,"421 Tunxis Hill Road
Fairfield
(41.1768546, -73.2306361)",2.0,1040,174,51.0,"(41.1768546, -73.2306361)"
165,Wesleyan University,161 Cross Street,Open 24 Hours,2,"161 Cross Street
Middletown
(41.550883, -72.662214)",3.0,1043,236,83.0,"(41.550883, -72.662214)"
166,Highland Park Market,317 Highland Street,Dealership business hours,2,"317 Highland Street
Manchester
(41.7660072, -72.4902715)",1.0,1041,263,77.0,"(41.7660072, -72.4902715)"
167,Town of Westport - Westport Metro North,1 Railroad Place (Located at the East Bound Saugatuck Train Station),Open 24/7 is a pay lot ,"1, 2","1 Railroad Place (Located at the East Bound Saugatuck Train Station)
Westport
(41.119379, -73.369318)",9.0,1040,179,158.0,"(41.119379, -73.369318)"
168,Mystic Aquarium,55 Coogan Blvd.,Open 24 Hours,"2, DC","55 Coogan Blvd.
Mystic
(41.373266, -71.953159)",8.0,1045,135,137.0,"(41.373266, -71.953159)"
169,Asnuntuck Community College,170 Elm Street,Open 24 Hours,2,"170 Elm Street
Enfield
(42.0000268, -72.5697849)",1.0,1041,108,49.0,"(42.0000268, -72.5697849)"
170,BMW of Darien-ChargePoint,138-142 Ledge Rd,Open 24 Hours,2,"138-142 Ledge Rd
Darien
(41.072882, -73.4764687)",9.0,1040,5,35.0,"(41.072882, -73.4764687)"
171,Branchville Rail Station,U.S. 7 & S.R. 102,Open 24 Hours,2,"U.S. 7 & S.R. 102
Ridgefield
(41.267627, -73.44164)",9.0,1040,43,118.0,"(41.267627, -73.44164)"
172,Executive Valet Parking at Bradley International Airport,1186 South Street,Open 24 Hours,2,"1186 South Street
Suffield
(41.951638, -72.6656968)",1.0,1041,115,139.0,"(41.951638, -72.6656968)"
173,Northbound & Southbound Travel Plaza,2000-3000 Merritt Parkway,Open 24 Hours,Tesla,"2000-3000 Merritt Parkway
Greenwich
(41.040555, -73.673445)",9.0,1040,215,57.0,"(41.040555, -73.673445)"
174,City of New Haven,102 N. Frontage Road (Orchard Sherman Parking Lot),Open 24 Hours,2,"102 N. Frontage Road (Orchard Sherman Parking Lot)
New Haven
(41.312201, -72.921453)",7.0,1044,133,93.0,"(41.312201, -72.921453)"
175,Metro Center Garage,1 Station Place,Open 24 Hours,2,"1 Station Place
Stamford
(41.0456376, -73.5428902)",9.0,1040,7,135.0,"(41.0456376, -73.5428902)"
176,Spinnaker Real Estate Partners,20 North Water Street,Open 24 Hours,2,"20 North Water Street
Norwalk
(41.099673, -73.416602)",9.0,1040,155,103.0,"(41.099673, -73.416602)"
177,Western Connecticut State University,180 White Street,Open 24 Hours,2,"180 White Street
Danbury
(41.399422, -73.445563)",9.0,1040,1,34.0,"(41.399422, -73.445563)"
179,Propark America,100 Asylum Street,Garage Hours,2,"100 Asylum Street
Hartford
(41.7669796, -72.6749203)",1.0,1041,82,64.0,"(41.7669796, -72.6749203)"
180,New Haven Parking Authority (Union Street),40 Union Street (Located on first floor of garage),Open 24/7 is a pay lot ,2,"40 Union Street (Located on first floor of garage)
New Haven
(41.29803, -72.926668)",7.0,1044,132,93.0,"(41.29803, -72.926668)"
181,644 West Putnam,644 West Putnam Avenue,Open 24 Hours,2,"644 West Putnam Avenue
Greenwich
(41.016928, -73.6476069)",9.0,1040,6,57.0,"(41.016928, -73.6476069)"
182,CT Department of Motor Vehicles,60 State Street,8 AM-5 PM M-F,2,"60 State Street
Wethersfield
(41.7186625, -72.655754)",1.0,1041,261,159.0,"(41.7186625, -72.655754)"
183,Killingly Town Hall,172 Main Street,Open 24 Hours,2,"172 Main Street
Killingly
(41.80577, -71.882323)",5.0,39,71,69.0,"(41.80577, -71.882323)"
184,Illiano's Grill,257 West Town Street,Open 24 Hours,2,"257 West Town Street
Yantic
(41.557556, -72.1136)",8.0,1045,14,104.0,"(41.557556, -72.1136)"
185,General Electric,41 Woodford Avenue,Open 24 Hours,2,"41 Woodford Avenue
Plainville
(41.6724723, -72.8582306)",1.0,1041,260,110.0,"(41.6724723, -72.8582306)"
186,Town of East Hartford,740 Main Street,Open 24 Hours,2,"740 Main Street
East Hartford
(41.765921, -72.645193)",1.0,1041,119,43.0,"(41.765921, -72.645193)"
187,Bedford Street Garage,17 Forest Street,Open 24 Hours,2,"17 Forest Street
Stamford
(41.0569153, -73.5371102)",9.0,1040,203,135.0,"(41.0569153, -73.5371102)"
188,VW of Old Saybrook,319 Middlesex Turnpike,Open 24 Hours,2,"319 Middlesex Turnpike
Old Saybrook
(41.310116, -72.38265)",3.0,1043,56,106.0,"(41.310116, -72.38265)"
189,Deep River Library,150 Main Street,Open 24 Hours,"1, 2","150 Main Street
Deep River
(41.3865745, -72.4359069)",3.0,1043,272,36.0,"(41.3865745, -72.4359069)"
190,Town of Glastonbury,2155 Main Street,Open 24 Hours,2,"2155 Main Street
Glastonbury
(41.7075381, -72.6085729)",1.0,1041,90,54.0,"(41.7075381, -72.6085729)"
191,Barberino Nissan,505 N Colony Street,Dealership Hours,2,"505 N Colony Street
Wallingford
(41.467401, -72.817451)",7.0,1044,195,148.0,"(41.467401, -72.817451)"
192,University of Connecticut- South Parking Garage,505 Stadium Road,Garage Hours,2,"505 Stadium Road
Storrs
(41.805152, -72.253601)",1.0,38,69,78.0,"(41.805152, -72.253601)"
193,Danbury Parking Authority,21 Delay Street,"5AM-2AM M-Sat, 8AM-2AM Sun",2,"21 Delay Street
Danbury
(41.396042, -73.451059)",9.0,1040,1,34.0,"(41.396042, -73.451059)"
194,Bruce Bennett Nissan,978 Danbury Road,Dealership Hours,2,"978 Danbury Road
Wilton
(41.26043, -73.435421)",9.0,1040,212,161.0,"(41.26043, -73.435421)"
195,Central Connecticut State University-Student Center,105 Ella Grasso Blvd.,Open 24 Hours,2,"105 Ella Grasso Blvd.
New Britain
(41.693068, -72.767971)",1.0,1041,110,89.0,"(41.693068, -72.767971)"
196,Bethel Metro-North Train Station,13 Durant Ave,Open 24 Hours,2,"13 Durant Ave
Bethel
(41.376431, -73.417444)",9.0,1040,77,9.0,"(41.376431, -73.417444)"
197,Newington Electric,72 Pane Road,Open 24 Hours,2,"72 Pane Road
Newington
(41.654779, -72.729349)",1.0,1041,86,94.0,"(41.654779, -72.729349)"
198,East Norwalk Library,51 Van Zant Street,Open 24 Hours,2,"51 Van Zant Street
Norwalk
(41.101888, -73.405875)",9.0,1040,247,103.0,"(41.101888, -73.405875)"
199,Town of Hebron,15 Gilead Street,Open 24 Hours,2,"15 Gilead Street
Hebron
(41.658572, -72.366742)",1.0,38,68,67.0,"(41.658572, -72.366742)"
200,Corbins Corner Shopping Center,1445 New Britain Ave,Open 24 Hours,Tesla,"1445 New Britain Ave
West Hartford
(41.7257831, -72.7573662)",1.0,1041,213,155.0,"(41.7257831, -72.7573662)"
201,Meriden City Hall/Meriden Library,105 Miller Street,Open 24 Hours,2,"105 Miller Street
Meriden
(41.537218, -72.796702)",7.0,1044,199,80.0,"(41.537218, -72.796702)"
202,Montesi VW,444 State Street,Dealership Hours,2,"444 State Street
North Haven
(41.3630236, -72.8878557)",7.0,1044,168,101.0,"(41.3630236, -72.8878557)"
203,Paul Miller Nissan,930 Kings Hwy E,Dealership Hours,2,"930 Kings Hwy E
Fairfield
(41.16725, -73.2336)",2.0,1040,174,51.0,"(41.16725, -73.2336)"
204,Canton Town Hall,4 Market Street,Open 24 Hours,2,"4 Market Street
Canton
(41.810822, -72.922571)",1.0,1041,80,23.0,"(41.810822, -72.922571)"
205,D'Addario Nissan,329 Bridgeport Avenue,Dealership Hours,"2, DC","329 Bridgeport Avenue
Shelton
(41.29952, -73.1063)",4.0,1040,217,126.0,"(41.29952, -73.1063)"
206,Hoffman of Simsbury Inc.  d/b/a Hoffman Honda,40 Albany Tpke,Dealership Hours,2,"40 Albany Tpke
West Simsbury
(41.821883, -72.873778)",1.0,1041,80,23.0,"(41.821883, -72.873778)"
207,Convention Center,100 Columbus Blvd,Open 24 Hours,2,"100 Columbus Blvd
Hartford
(41.76378, -72.6697)",1.0,1041,82,64.0,"(41.76378, -72.6697)"
208,Bishop's Orchards,1355 Boston Post Road,Open 24 Hours,2,"1355 Boston Post Road
Guilford
(41.289671, -72.695214)",7.0,1044,201,60.0,"(41.289671, -72.695214)"
209,Stamford Government Center Garage,888 Washington Blvd,Open 24 Hours,2,"888 Washington Blvd
Stamford
(41.0522174, -73.5423234)",9.0,1040,203,135.0,"(41.0522174, -73.5423234)"
210,Town of Mansfield,10 S Eagleville Road,Open 24 Hours,2,"10 S Eagleville Road
Mansfield
(41.7990473, -72.2446293)",1.0,38,33,78.0,"(41.7990473, -72.2446293)"
211,Szczesny Parking Garage,31 Bank Street,Open 24 Hours,2,"31 Bank Street
New Britain
(41.666879, -72.78037)",1.0,1041,17,89.0,"(41.666879, -72.78037)"
212,Whalley Blake Parking Lot,919 Whalley Avenue,Open 24 Hours,2,"919 Whalley Avenue
New Haven
(41.32696, -72.959996)",7.0,1044,240,93.0,"(41.32696, -72.959996)"
213,North Madison Shopping Center/BeFree Solar,492 Old Toll Road,Open 24 Hours,"1, 2","492 Old Toll Road
Madison
(41.36007495, -72.63656297)",7.0,1044,134,76.0,"(41.36007495, -72.63656297)"
214,Hampton Inn,129 Plains Road,Open 24 Hours-Guests Only,DC,"129 Plains Road
Milford
(41.2231941, -73.0770373)",7.0,1044,28,84.0,"(41.2231941, -73.0770373)"
